cyclone_id,samples,wind_mae_kt,wind_rmse_kt,wind_r2,pressure_mae_hpa,pressure_rmse_hpa,pressure_r2,size_mae_nmi,size_rmse_nmi,size_r2
200526L,2,7.402424223721031,7.694389721778362,-1.3681453276243398,5.598664498329242,5.7050565036046015,-31.547669709321156,24.0083404943347,24.55314297748723,-2.512946973212112
200527L,4,14.876589607447386,20.52445874646194,-0.625284424731972,8.902410963177658,11.71661274606202,-0.9472200601586243,9.074004647321999,11.69722375925112,-0.9568274402536963
200603W,5,16.832524666190146,17.78084926256265,-4.661866054763159,5.724835943281619,7.72329374818148,-4.250815697244642,33.63239928543568,38.427000282327796,-2.6776988857524495
200605E,6,19.091905380288757,24.02113232688293,0.42016656699058397,10.680049101511656,14.711363020422395,0.7014838594225496,25.439535553256672,27.912273786274202,-0.5619865509289232
200615E,4,8.523087069392204,8.726355687405853,-0.13338468588830477,3.0990848422050874,3.3271192298658514,-0.7890460395544463,19.10609094798565,20.62879107201933,-1.1487186863868684
200706L,4,43.585031270980835,53.12309257871345,-0.750998853764492,24.070854377746542,30.774376240951913,-0.3139954672489289,20.80962248109281,23.336352674880786,0.38026036801140783
200707L,2,1.7537796199321711,1.778652307456679,0.9121221102549731,6.488623237609886,6.519221461346825,-9.625062115521256,12.190727803111077,12.297976455296325,0.6329922470940261
200711E,6,14.227228678762915,16.115655412603843,-4.7536717400617565,10.235343735168385,12.81564260420371,-1.3024396545609518,33.92466281751791,39.43468708501802,-7.43406801346813
200711L,3,3.2295705874760934,3.2716730893083423,-0.9266920645947914,0.720719273885076,0.8720499678331385,,44.64155978759129,47.7750989564787,-0.9221543778924748
200712L,4,9.794135808944704,12.862642400541676,-1.9412901248748895,15.978241103142551,18.916980740951246,-211.06053946875284,23.043006460368634,30.43981038868589,0.026384399363345024
200714L,7,6.990738355687687,8.258653069034832,-4.141634115721914,6.050294698987711,6.991914784935302,-14.969711637533647,21.831466757825442,24.39180518574474,-0.762844919168367
200715E,7,4.681530287223202,5.271285956133288,0.848718186007214,1.9203666644436745,2.197655040152303,0.8716623123102851,11.894901153445241,13.45520094107891,0.8041089457689428
200716L,9,13.77899627884229,17.60403483395699,-0.02482507704943493,10.919828113582424,15.631012814692461,-0.7176369979742645,78.70860908826192,128.97634622912884,-0.18181958014285127
200717W,3,13.991157993674276,17.49215893992553,-151.98781218980835,9.936726458867383,11.88056969651737,-157.79142835303264,48.63887801369032,52.69250892082407,-15.855197476857352
200723W,8,13.42508122883737,17.352129380281326,0.15388938669938823,6.65995325017721,9.989152237944564,0.3662046054286119,32.35143157094717,37.21943368631382,-0.15700137576301554
200802E,9,11.596027236845758,13.962401033573395,0.3903621321747802,4.396079438924769,5.721299298715871,0.4110629678133222,20.79153708898359,25.409679837569513,0.4238777350405626
200803E,2,12.073602557182314,12.078050342603207,,5.219358778000014,5.220674400774978,,14.838280349969864,14.839209225029895,
200807L,12,18.61930648734172,20.458651860196248,0.5535265728252212,4.1915665209293325,5.453040627408297,0.8958977462773552,29.28496075443303,33.19165587180261,0.5095427054237605
200818W,1,13.569997310638442,13.569997310638442,,7.93841686248777,7.93841686248777,,32.999001908302304,32.999001908302304,
201117L,2,13.343883611261845,13.360528068679391,-6.140148410958796,10.755532419681515,10.99446374252616,-52.723659104765474,30.744587525725365,30.79826297396197,-15.862808928236745
201509W,4,9.284465868026022,10.579594785102149,0.8774736444258778,6.732141476869572,7.93940072704189,0.876039166362727,71.87045642957091,77.054721063764,-0.2118930798103713
201511L,1,1.6103490591049194,1.6103490591049194,,9.245947623252846,9.245947623252846,,175.62168288230896,175.62168288230896,
201511W,18,26.36363623539607,31.454846623225396,-0.2614181938330147,21.818557184603478,26.763725515222156,-0.6769650858001901,61.73166500708708,83.19340220746169,-1.3104497414589935
201516W,11,18.292901062152602,23.0836181317798,0.05668961883666701,15.85207467512649,20.17179445741375,-0.30341124285195953,29.96709640896456,34.49616360470057,-1.017850209964882
201528W,3,34.92735277613004,39.05498487656024,-0.07515872441847926,26.96588253776228,30.767445894182764,-0.2258592146277949,42.481524701913195,52.86199793427758,-0.33767767415313044
201602W,6,41.30365631481012,56.18338049343254,-0.4269322145750516,33.63505367040634,45.67463351302542,-0.7003372789913886,50.71563253477216,57.8902423916187,-0.2882969604257699
201608W,5,14.140381440520287,18.969082192567885,-24.701862802028295,12.093575232028979,14.190728944822943,-21.475087944803093,57.75726889073849,70.94588053355452,-3.688698616377633
201612W,8,11.044044390320776,15.619566842679797,-0.43209534757298873,14.35236301422114,17.007166852525177,-1.7916752161629304,103.09063802659512,105.27804087369469,-16.020799447462824
